recording_id,num_mics,sample_rate_hz,duration_sec,mic1_path,mic2_path,mic3_path
10321800,3,44100,6.561,MICRECORD/10321800/INDIV/Mic1_10321800.wav,MICRECORD/10321800/INDIV/Mic2_10321800.wav,MICRECORD/10321800/INDIV/Mic3_10321800.wav
10321801,3,44100,6.561,MICRECORD/10321801/INDIV/Mic1_10321801.wav,MICRECORD/10321801/INDIV/Mic2_10321801.wav,MICRECORD/10321801/INDIV/Mic3_10321801.wav
10321802,3,44100,6.651,MICRECORD/10321802/INDIV/Mic1_10321802.wav,MICRECORD/10321802/INDIV/Mic2_10321802.wav,MICRECORD/10321802/INDIV/Mic3_10321802.wav
10323500,3,44100,6.432,MICRECORD/10323500/INDIV/Mic1_10323500.wav,MICRECORD/10323500/INDIV/Mic2_10323500.wav,MICRECORD/10323500/INDIV/Mic3_10323500.wav
10323501,3,44100,6.291,MICRECORD/10323501/INDIV/Mic1_10323501.wav,MICRECORD/10323501/INDIV/Mic2_10323501.wav,MICRECORD/10323501/INDIV/Mic3_10323501.wav
11313000,3,44100,7.632,MICRECORD/11313000/INDIV/Mic1_11313000.wav,MICRECORD/11313000/INDIV/Mic2_11313000.wav,MICRECORD/11313000/INDIV/Mic3_11313000.wav
11313001,3,44100,11.382,MICRECORD/11313001/INDIV/Mic1_11313001.wav,MICRECORD/11313001/INDIV/Mic2_11313001.wav,MICRECORD/11313001/INDIV/Mic3_11313001.wav
11313500,3,44100,23.301,MICRECORD/11313500/INDIV/Mic1_11313500.wav,MICRECORD/11313500/INDIV/Mic2_11313500.wav,MICRECORD/11313500/INDIV/Mic3_11313500.wav
11331800,3,44100,5.168,MICRECORD/11331800/INDIV/Mic1_11331800.wav,MICRECORD/11331800/INDIV/Mic2_11331800.wav,MICRECORD/11331800/INDIV/Mic3_11331800.wav
11333500,3,44100,10.185,MICRECORD/11333500/INDIV/Mic1_11333500.wav,MICRECORD/11333500/INDIV/Mic2_11333500.wav,MICRECORD/11333500/INDIV/Mic3_11333500.wav
